Local Date, Local Time, Day Type ID, NTIS Link Number, Road, Carriageway, NTIS Link Description, NTIS Model Version, Link Length, Start Node Coordinates, End Node Coordinates, Total Traffic Flow, Profile Traffic Flow, Traffic Flow %value1, Traffic Flow %value2, Traffic Flow %value3, Traffic Flow %value4, Flow Quality, Fused Travel Time, Profile Travel Time, Fused Average Speed, Quality Index
2024-09-01,00:14:42,5,126051701,M67,mainCarriageway,M67 eastbound between J3 and J4,1.00,2334.55980,53.452967173246797 ; -2.074869287497810,53.455751798999898 ; -2.041878257173400,79,85,93.00,0.00,2.00,5.00,15,79.33,85.67,105.87,15
2024-09-01,00:29:41,5,126051701,M67,mainCarriageway,M67 eastbound between J3 and J4,1.00,2334.55980,53.452967173246797 ; -2.074869287497810,53.455751798999898 ; -2.041878257173400,77,70,97.00,1.00,0.00,2.00,15,83.13,86.33,100.87,15
2024-09-01,00:44:42,5,126051701,M67,mainCarriageway,M67 eastbound between J3 and J4,1.00,2334.55980,53.452967173246797 ; -2.074869287497810,53.455751798999898 ; -2.041878257173400,84,60,94.00,3.00,0.00,3.00,15,82.00,86.33,102.67,15
2024-09-01,00:59:42,5,126051701,M67,mainCarriageway,M67 eastbound between J3 and J4,1.00,2334.55980,53.452967173246797 ; -2.074869287497810,53.455751798999898 ; -2.041878257173400,64,60,98.00,2.00,0.00,0.00,15,86.53,86.33,97.33,15
2024-09-01,01:14:42,6,126051701,M67,mainCarriageway,M67 eastbound between J3 and J4,1.00,2334.55980,53.452967173246797 ; -2.074869287497810,53.455751798999898 ; -2.041878257173400,73,45,95.00,3.00,1.00,1.00,15,81.87,87.00,102.13,15
2024-09-01,01:29:42,6,126051701,M67,mainCarriageway,M67 eastbound between J3 and J4,1.00,2334.55980,53.452967173246797 ; -2.074869287497810,53.455751798999898 ; -2.041878257173400,73,45,97.00,0.00,1.00,2.00,15,83.87,87.00,99.60,15
2024-09-01,01:44:43,6,126051701,M67,mainCarriageway,M67 eastbound between J3 and J4,1.00,2334.55980,53.452967173246797 ; -2.074869287497810,53.455751798999898 ; -2.041878257173400,76,40,94.00,4.00,0.00,2.00,15,83.60,87.00,100.20,15
2024-09-01,01:59:43,6,126051701,M67,mainCarriageway,M67 eastbound between J3 and J4,1.00,2334.55980,53.452967173246797 ; -2.074869287497810,53.455751798999898 ; -2.041878257173400,39,30,94.00,3.00,3.00,0.00,15,83.67,87.00,100.27,15
2024-09-01,02:14:44,6,126051701,M67,mainCarriageway,M67 eastbound between J3 and J4,1.00,2334.55980,53.452967173246797 ; -2.074869287497810,53.455751798999898 ; -2.041878257173400,35,30,97.00,3.00,0.00,0.00,15,81.67,86.00,102.67,15
2024-09-01,02:29:44,6,126051701,M67,mainCarriageway,M67 eastbound between J3 and J4,1.00,2334.55980,53.452967173246797 ; -2.074869287497810,53.455751798999898 ; -2.041878257173400,40,20,97.00,3.00,0.00,0.00,15,83.67,84.33,100.27,15
2024-09-01,02:44:44,6,126051701,M67,mainCarriageway,M67 eastbound between J3 and J4,1.00,2334.55980,53.452967173246797 ; -2.074869287497810,53.455751798999898 ; -2.041878257173400,44,15,91.00,3.00,3.00,3.00,15,82.67,83.00,101.13,15
2024-09-01,02:59:46,6,126051701,M67,mainCarriageway,M67 eastbound between J3 and J4,1.00,2334.55980,53.452967173246797 ; -2.074869287497810,53.455751798999898 ; -2.041878257173400,32,15,88.00,3.00,0.00,9.00,15,84.00,83.67,100.00,15
2024-09-01,03:14:46,6,126051701,M67,mainCarriageway,M67 eastbound between J3 and J4,1.00,2334.55980,53.452967173246797 ; -2.074869287497810,53.455751798999898 ; -2.041878257173400,44,15,94.00,0.00,3.00,3.00,15,83.53,85.00,100.40,15
2024-09-01,03:29:47,6,126051701,M67,mainCarriageway,M67 eastbound between J3 and J4,1.00,2334.55980,53.452967173246797 ; -2.074869287497810,53.455751798999898 ; -2.041878257173400,41,15,94.00,0.00,6.00,0.00,15,83.53,86.00,100.40,15
2024-09-01,03:44:46,6,126051701,M67,mainCarriageway,M67 eastbound between J3 and J4,1.00,2334.55980,53.452967173246797 ; -2.074869287497810,53.455751798999898 ; -2.041878257173400,45,15,90.00,0.00,7.00,3.00,15,80.87,85.33,103.60,15
2024-09-01,03:59:47,6,126051701,M67,mainCarriageway,M67 eastbound between J3 and J4,1.00,2334.55980,53.452967173246797 ; -2.074869287497810,53.455751798999898 ; -2.041878257173400,45,15,92.00,5.00,0.00,3.00,15,84.47,85.00,99.20,15
2024-09-01,04:14:47,6,126051701,M67,mainCarriageway,M67 eastbound between J3 and J4,1.00,2334.55980,53.452967173246797 ; -2.074869287497810,53.455751798999898 ; -2.041878257173400,42,15,93.00,5.00,0.00,2.00,15,82.73,83.67,101.40,15
2024-09-01,04:29:47,6,126051701,M67,mainCarriageway,M67 eastbound between J3 and J4,1.00,2334.55980,53.452967173246797 ; -2.074869287497810,53.455751798999898 ; -2.041878257173400,51,15,91.00,3.00,3.00,3.00,15,85.47,83.67,98.20,15
2024-09-01,04:44:48,6,126051701,M67,mainCarriageway,M67 eastbound between J3 and J4,1.00,2334.55980,53.452967173246797 ; -2.074869287497810,53.455751798999898 ; -2.041878257173400,41,15,91.00,5.00,2.00,2.00,15,91.27,85.00,92.40,15
2024-09-01,04:59:48,6,126051701,M67,mainCarriageway,M67 eastbound between J3 and J4,1.00,2334.55980,53.452967173246797 ; -2.074869287497810,53.455751798999898 ; -2.041878257173400,45,15,93.00,5.00,0.00,2.00,15,86.40,85.67,97.00,15
2024-09-01,05:14:48,6,126051701,M67,mainCarriageway,M67 eastbound between J3 and J4,1.00,2334.55980,53.452967173246797 ; -2.074869287497810,53.455751798999898 ; -2.041878257173400,45,20,89.00,5.00,3.00,3.00,15,93.40,84.67,89.60,15
2024-09-01,05:29:49,6,126051701,M67,mainCarriageway,M67 eastbound between J3 and J4,1.00,2334.55980,53.452967173246797 ; -2.074869287497810,53.455751798999898 ; -2.041878257173400,45,30,86.00,5.00,6.00,3.00,15,92.33,83.67,90.93,15
2024-09-01,05:44:50,6,126051701,M67,mainCarriageway,M67 eastbound between J3 and J4,1.00,2334.55980,53.452967173246797 ; -2.074869287497810,53.455751798999898 ; -2.041878257173400,39,30,91.00,9.00,0.00,0.00,15,90.93,84.67,92.07,15
2024-09-01,05:59:50,6,126051701,M67,mainCarriageway,M67 eastbound between J3 and J4,1.00,2334.55980,53.452967173246797 ; -2.074869287497810,53.455751798999898 ; -2.041878257173400,32,20,93.00,3.00,4.00,0.00,15,88.27,85.67,94.73,15
2024-09-01,06:14:51,6,126051701,M67,mainCarriageway,M67 eastbound between J3 and J4,1.00,2334.55980,53.452967173246797 ; -2.074869287497810,53.455751798999898 ; -2.041878257173400,42,15,87.00,5.00,5.00,3.00,15,89.13,86.33,93.87,15
2024-09-01,06:29:51,6,126051701,M67,mainCarriageway,M67 eastbound between J3 and J4,1.00,2334.55980,53.452967173246797 ; -2.074869287497810,53.455751798999898 ; -2.041878257173400,52,30,83.00,10.00,2.00,5.00,15,86.87,89.67,96.20,15
2024-09-01,06:44:52,6,126051701,M67,mainCarriageway,M67 eastbound between J3 and J4,1.00,2334.55980,53.452967173246797 ; -2.074869287497810,53.455751798999898 ; -2.041878257173400,56,45,80.00,8.00,8.00,4.00,15,78.73,88.00,107.13,15
2024-09-01,06:59:51,6,126051701,M67,mainCarriageway,M67 eastbound between J3 and J4,1.00,2334.55980,53.452967173246797 ; -2.074869287497810,53.455751798999898 ; -2.041878257173400,57,45,81.00,12.00,2.00,5.00,15,97.53,87.00,86.20,15
2024-09-01,07:14:52,6,126051701,M67,mainCarriageway,M67 eastbound between J3 and J4,1.00,2334.55980,53.452967173246797 ; -2.074869287497810,53.455751798999898 ; -2.041878257173400,67,45,84.00,10.00,1.00,5.00,15,95.47,86.33,87.67,15
2024-09-01,07:29:53,6,126051701,M67,mainCarriageway,M67 eastbound between J3 and J4,1.00,2334.55980,53.452967173246797 ; -2.074869287497810,53.455751798999898 ; -2.041878257173400,72,55,92.00,5.00,0.00,3.00,15,93.00,87.00,90.00,15
2024-09-01,07:44:52,6,126051701,M67,mainCarriageway,M67 eastbound between J3 and J4,1.00,2334.55980,53.452967173246797 ; -2.074869287497810,53.455751798999898 ; -2.041878257173400,78,60,92.00,4.00,1.00,3.00,15,93.13,87.00,90.47,15
2024-09-01,07:59:53,6,126051701,M67,mainCarriageway,M67 eastbound between J3 and J4,1.00,2334.55980,53.452967173246797 ; -2.074869287497810,53.455751798999898 ; -2.041878257173400,99,70,91.00,3.00,1.00,5.00,15,89.67,87.00,93.40,15
2024-09-01,08:14:54,6,126051701,M67,mainCarriageway,M67 eastbound between J3 and J4,1.00,2334.55980,53.452967173246797 ; -2.074869287497810,53.455751798999898 ; -2.041878257173400,102,85,81.00,9.00,7.00,3.00,15,86.93,85.67,96.80,15
2024-09-01,08:29:53,6,126051701,M67,mainCarriageway,M67 eastbound between J3 and J4,1.00,2334.55980,53.452967173246797 ; -2.074869287497810,53.455751798999898 ; -2.041878257173400,115,95,90.00,4.00,2.00,4.00,15,85.27,84.00,98.93,15
2024-09-01,08:44:54,6,126051701,M67,mainCarriageway,M67 eastbound between J3 and J4,1.00,2334.55980,53.452967173246797 ; -2.074869287497810,53.455751798999898 ; -2.041878257173400,155,105,96.00,2.00,2.00,0.00,15,81.53,84.33,103.07,15
2024-09-01,08:59:55,6,126051701,M67,mainCarriageway,M67 eastbound between J3 and J4,1.00,2334.55980,53.452967173246797 ; -2.074869287497810,53.455751798999898 ; -2.041878257173400,176,120,94.00,2.00,1.00,3.00,15,83.47,84.33,100.47,15
2024-09-01,09:14:55,6,126051701,M67,mainCarriageway,M67 eastbound between J3 and J4,1.00,2334.55980,53.452967173246797 ; -2.074869287497810,53.455751798999898 ; -2.041878257173400,145,135,97.00,2.00,1.00,0.00,15,83.07,85.00,101.00,15
2024-09-01,09:29:55,6,126051701,M67,mainCarriageway,M67 eastbound between J3 and J4,1.00,2334.55980,53.452967173246797 ; -2.074869287497810,53.455751798999898 ; -2.041878257173400,158,145,97.00,1.00,1.00,1.00,15,81.60,85.67,103.07,15
2024-09-01,09:44:56,6,126051701,M67,mainCarriageway,M67 eastbound between J3 and J4,1.00,2334.55980,53.452967173246797 ; -2.074869287497810,53.455751798999898 ; -2.041878257173400,184,165,95.00,2.00,1.00,2.00,15,87.60,85.67,95.87,15
2024-09-01,09:59:56,6,126051701,M67,mainCarriageway,M67 eastbound between J3 and J4,1.00,2334.55980,53.452967173246797 ; -2.074869287497810,53.455751798999898 ; -2.041878257173400,219,170,94.00,4.00,2.00,0.00,15,85.80,85.67,97.80,15
2024-09-01,10:14:57,6,126051701,M67,mainCarriageway,M67 eastbound between J3 and J4,1.00,2334.55980,53.452967173246797 ; -2.074869287497810,53.455751798999898 ; -2.041878257173400,235,190,93.00,2.00,3.00,2.00,15,82.87,88.00,101.27,15
2024-09-01,10:29:57,6,126051701,M67,mainCarriageway,M67 eastbound between J3 and J4,1.00,2334.55980,53.452967173246797 ; -2.074869287497810,53.455751798999898 ; -2.041878257173400,211,195,96.00,2.00,1.00,1.00,15,84.60,91.33,99.40,15
2024-09-01,10:44:57,6,126051701,M67,mainCarriageway,M67 eastbound between J3 and J4,1.00,2334.55980,53.452967173246797 ; -2.074869287497810,53.455751798999898 ; -2.041878257173400,237,210,95.00,2.00,2.00,1.00,15,88.13,94.33,95.13,15
2024-09-01,10:59:27,6,126051701,M67,mainCarriageway,M67 eastbound between J3 and J4,1.00,2334.55980,53.452967173246797 ; -2.074869287497810,53.455751798999898 ; -2.041878257173400,266,210,95.00,2.00,3.00,0.00,15,82.93,98.33,100.80,15
2024-09-01,11:14:29,6,126051701,M67,mainCarriageway,M67 eastbound between J3 and J4,1.00,2334.55980,53.452967173246797 ; -2.074869287497810,53.455751798999898 ; -2.041878257173400,272,210,97.00,1.00,1.00,1.00,15,85.13,102.00,98.47,15
2024-09-01,11:29:27,6,126051701,M67,mainCarriageway,M67 eastbound between J3 and J4,1.00,2334.55980,53.452967173246797 ; -2.074869287497810,53.455751798999898 ; -2.041878257173400,224,210,96.00,3.00,1.00,0.00,15,90.07,101.00,93.13,15
2024-09-01,11:44:27,6,126051701,M67,mainCarriageway,M67 eastbound between J3 and J4,1.00,2334.55980,53.452967173246797 ; -2.074869287497810,53.455751798999898 ; -2.041878257173400,251,215,96.00,1.00,2.00,1.00,15,93.07,102.33,90.13,15
2024-09-01,11:59:28,6,126051701,M67,mainCarriageway,M67 eastbound between J3 and J4,1.00,2334.55980,53.452967173246797 ; -2.074869287497810,53.455751798999898 ; -2.041878257173400,281,215,96.00,2.00,0.00,2.00,15,86.33,102.33,97.67,15
2024-09-01,12:14:30,6,126051701,M67,mainCarriageway,M67 eastbound between J3 and J4,1.00,2334.55980,53.452967173246797 ; -2.074869287497810,53.455751798999898 ; -2.041878257173400,245,225,97.00,2.00,1.00,0.00,15,106.87,100.67,78.33,15
