Local Date, Local Time, Day Type ID, NTIS Link Number, Road, Carriageway, NTIS Link Description, NTIS Model Version, Link Length, Start Node Coordinates, End Node Coordinates, Total Traffic Flow, Profile Traffic Flow, Traffic Flow %value1, Traffic Flow %value2, Traffic Flow %value3, Traffic Flow %value4, Flow Quality, Fused Travel Time, Profile Travel Time, Fused Average Speed, Quality Index
2024-09-01,00:14:42,5,115030301,M67,mainCarriageway,M67 eastbound within J3,1.00,474.36243,53.453384995406402 ; -2.081947715510440,53.452967173246797 ; -2.074869287497810,69,70,53.00,39.00,2.00,6.00,15,16.20,17.00,106.00,15
2024-09-01,00:29:41,5,115030301,M67,mainCarriageway,M67 eastbound within J3,1.00,474.36243,53.453384995406402 ; -2.081947715510440,53.452967173246797 ; -2.074869287497810,62,60,71.00,26.00,0.00,3.00,15,17.00,17.00,102.20,15
2024-09-01,00:44:42,5,115030301,M67,mainCarriageway,M67 eastbound within J3,1.00,474.36243,53.453384995406402 ; -2.081947715510440,53.452967173246797 ; -2.074869287497810,65,60,40.00,56.00,2.00,2.00,15,17.13,17.00,100.73,15
2024-09-01,00:59:42,5,115030301,M67,mainCarriageway,M67 eastbound within J3,1.00,474.36243,53.453384995406402 ; -2.081947715510440,53.452967173246797 ; -2.074869287497810,54,45,57.00,39.00,2.00,2.00,15,16.80,17.00,101.47,15
2024-09-01,01:14:42,6,115030301,M67,mainCarriageway,M67 eastbound within J3,1.00,474.36243,53.453384995406402 ; -2.081947715510440,53.452967173246797 ; -2.074869287497810,62,45,79.00,18.00,3.00,0.00,15,16.93,17.00,100.87,15
2024-09-01,01:29:42,6,115030301,M67,mainCarriageway,M67 eastbound within J3,1.00,474.36243,53.453384995406402 ; -2.081947715510440,53.452967173246797 ; -2.074869287497810,67,45,61.00,35.00,0.00,4.00,15,17.00,18.00,99.87,15
2024-09-01,01:44:43,6,115030301,M67,mainCarriageway,M67 eastbound within J3,1.00,474.36243,53.453384995406402 ; -2.081947715510440,53.452967173246797 ; -2.074869287497810,65,40,65.00,33.00,2.00,0.00,15,17.00,18.00,101.40,15
2024-09-01,01:59:43,6,115030301,M67,mainCarriageway,M67 eastbound within J3,1.00,474.36243,53.453384995406402 ; -2.081947715510440,53.452967173246797 ; -2.074869287497810,45,30,64.00,33.00,3.00,0.00,15,16.67,17.33,102.80,15
2024-09-01,02:14:44,6,115030301,M67,mainCarriageway,M67 eastbound within J3,1.00,474.36243,53.453384995406402 ; -2.081947715510440,53.452967173246797 ; -2.074869287497810,42,30,62.00,35.00,3.00,0.00,15,16.80,17.00,102.07,15
2024-09-01,02:29:44,6,115030301,M67,mainCarriageway,M67 eastbound within J3,1.00,474.36243,53.453384995406402 ; -2.081947715510440,53.452967173246797 ; -2.074869287497810,43,20,68.00,32.00,0.00,0.00,15,16.27,17.00,106.20,15
2024-09-01,02:44:44,6,115030301,M67,mainCarriageway,M67 eastbound within J3,1.00,474.36243,53.453384995406402 ; -2.081947715510440,53.452967173246797 ; -2.074869287497810,45,15,49.00,45.00,3.00,3.00,15,17.20,17.00,100.47,15
2024-09-01,02:59:46,6,115030301,M67,mainCarriageway,M67 eastbound within J3,1.00,474.36243,53.453384995406402 ; -2.081947715510440,53.452967173246797 ; -2.074869287497810,36,15,41.00,47.00,3.00,9.00,15,17.73,17.00,97.40,15
2024-09-01,03:14:46,6,115030301,M67,mainCarriageway,M67 eastbound within J3,1.00,474.36243,53.453384995406402 ; -2.081947715510440,53.452967173246797 ; -2.074869287497810,42,15,76.00,15.00,3.00,6.00,15,16.73,17.00,102.60,15
2024-09-01,03:29:47,6,115030301,M67,mainCarriageway,M67 eastbound within J3,1.00,474.36243,53.453384995406402 ; -2.081947715510440,53.452967173246797 ; -2.074869287497810,40,15,72.00,25.00,3.00,0.00,15,17.87,17.00,96.00,15
2024-09-01,03:44:46,6,115030301,M67,mainCarriageway,M67 eastbound within J3,1.00,474.36243,53.453384995406402 ; -2.081947715510440,53.452967173246797 ; -2.074869287497810,35,25,71.00,21.00,3.00,5.00,15,16.67,17.00,103.07,15
2024-09-01,03:59:47,6,115030301,M67,mainCarriageway,M67 eastbound within J3,1.00,474.36243,53.453384995406402 ; -2.081947715510440,53.452967173246797 ; -2.074869287497810,45,20,73.00,21.00,3.00,3.00,15,16.60,17.00,103.73,15
2024-09-01,04:14:47,6,115030301,M67,mainCarriageway,M67 eastbound within J3,1.00,474.36243,53.453384995406402 ; -2.081947715510440,53.452967173246797 ; -2.074869287497810,47,20,63.00,31.00,4.00,2.00,15,16.67,17.00,103.67,15
2024-09-01,04:29:47,6,115030301,M67,mainCarriageway,M67 eastbound within J3,1.00,474.36243,53.453384995406402 ; -2.081947715510440,53.452967173246797 ; -2.074869287497810,50,30,64.00,28.00,5.00,3.00,15,16.00,17.00,107.00,15
2024-09-01,04:44:48,6,115030301,M67,mainCarriageway,M67 eastbound within J3,1.00,474.36243,53.453384995406402 ; -2.081947715510440,53.452967173246797 ; -2.074869287497810,38,30,55.00,37.00,5.00,3.00,15,16.40,17.00,104.00,15
2024-09-01,04:59:48,6,115030301,M67,mainCarriageway,M67 eastbound within J3,1.00,474.36243,53.453384995406402 ; -2.081947715510440,53.452967173246797 ; -2.074869287497810,45,15,64.00,31.00,2.00,3.00,15,16.20,17.00,104.53,15
2024-09-01,05:14:48,6,115030301,M67,mainCarriageway,M67 eastbound within J3,1.00,474.36243,53.453384995406402 ; -2.081947715510440,53.452967173246797 ; -2.074869287497810,41,15,51.00,38.00,8.00,3.00,15,16.93,17.00,102.00,15
2024-09-01,05:29:49,6,115030301,M67,mainCarriageway,M67 eastbound within J3,1.00,474.36243,53.453384995406402 ; -2.081947715510440,53.452967173246797 ; -2.074869287497810,38,25,45.00,45.00,3.00,7.00,15,16.73,17.00,101.80,15
2024-09-01,05:44:50,6,115030301,M67,mainCarriageway,M67 eastbound within J3,1.00,474.36243,53.453384995406402 ; -2.081947715510440,53.452967173246797 ; -2.074869287497810,37,30,64.00,32.00,4.00,0.00,15,16.53,17.00,102.33,15
2024-09-01,05:59:50,6,115030301,M67,mainCarriageway,M67 eastbound within J3,1.00,474.36243,53.453384995406402 ; -2.081947715510440,53.452967173246797 ; -2.074869287497810,30,30,54.00,42.00,4.00,0.00,15,16.13,17.00,106.40,15
2024-09-01,06:14:51,6,115030301,M67,mainCarriageway,M67 eastbound within J3,1.00,474.36243,53.453384995406402 ; -2.081947715510440,53.452967173246797 ; -2.074869287497810,43,30,64.00,24.00,5.00,7.00,15,15.93,17.00,107.60,15
2024-09-01,06:29:51,6,115030301,M67,mainCarriageway,M67 eastbound within J3,1.00,474.36243,53.453384995406402 ; -2.081947715510440,53.452967173246797 ; -2.074869287497810,58,30,48.00,39.00,10.00,3.00,15,16.53,17.00,102.00,15
2024-09-01,06:44:52,6,115030301,M67,mainCarriageway,M67 eastbound within J3,1.00,474.36243,53.453384995406402 ; -2.081947715510440,53.452967173246797 ; -2.074869287497810,59,30,52.00,22.00,13.00,13.00,15,16.47,17.00,102.73,15
2024-09-01,06:59:51,6,115030301,M67,mainCarriageway,M67 eastbound within J3,1.00,474.36243,53.453384995406402 ; -2.081947715510440,53.452967173246797 ; -2.074869287497810,59,45,63.00,27.00,8.00,2.00,15,16.67,17.00,102.20,15
2024-09-01,07:14:52,6,115030301,M67,mainCarriageway,M67 eastbound within J3,1.00,474.36243,53.453384995406402 ; -2.081947715510440,53.452967173246797 ; -2.074869287497810,66,60,64.00,25.00,3.00,8.00,15,15.87,16.33,108.13,15
2024-09-01,07:29:53,6,115030301,M67,mainCarriageway,M67 eastbound within J3,1.00,474.36243,53.453384995406402 ; -2.081947715510440,53.452967173246797 ; -2.074869287497810,66,60,67.00,26.00,3.00,4.00,15,15.07,17.00,111.93,15
2024-09-01,07:44:52,6,115030301,M67,mainCarriageway,M67 eastbound within J3,1.00,474.36243,53.453384995406402 ; -2.081947715510440,53.452967173246797 ; -2.074869287497810,73,60,77.00,16.00,4.00,3.00,15,16.40,17.00,105.00,15
2024-09-01,07:59:53,6,115030301,M67,mainCarriageway,M67 eastbound within J3,1.00,474.36243,53.453384995406402 ; -2.081947715510440,53.452967173246797 ; -2.074869287497810,94,75,61.00,29.00,5.00,5.00,15,16.07,17.00,105.67,15
2024-09-01,08:14:54,6,115030301,M67,mainCarriageway,M67 eastbound within J3,1.00,474.36243,53.453384995406402 ; -2.081947715510440,53.452967173246797 ; -2.074869287497810,97,80,57.00,26.00,13.00,4.00,15,16.53,17.00,104.47,15
2024-09-01,08:29:53,6,115030301,M67,mainCarriageway,M67 eastbound within J3,1.00,474.36243,53.453384995406402 ; -2.081947715510440,53.452967173246797 ; -2.074869287497810,107,90,66.00,23.00,7.00,4.00,15,15.93,17.00,106.60,15
2024-09-01,08:44:54,6,115030301,M67,mainCarriageway,M67 eastbound within J3,1.00,474.36243,53.453384995406402 ; -2.081947715510440,53.452967173246797 ; -2.074869287497810,143,105,69.00,28.00,2.00,1.00,15,16.20,17.00,104.33,15
