Local Date, Local Time, Day Type ID, NTIS Link Number, Road, Carriageway, NTIS Link Description, NTIS Model Version, Link Length, Start Node Coordinates, End Node Coordinates, Total Traffic Flow, Profile Traffic Flow, Traffic Flow %value1, Traffic Flow %value2, Traffic Flow %value3, Traffic Flow %value4, Flow Quality, Fused Travel Time, Profile Travel Time, Fused Average Speed, Quality Index
2024-09-01,00:14:42,5,125040201,M67,mainCarriageway,M67 westbound between J4 and J3,1.00,661.11110,53.454767646530897 ; -2.025583010085950,53.454837041139697 ; -2.035431920235740,62,45,91.00,3.00,2.00,4.00,15,24.67,26.00,96.00,15
2024-09-01,00:29:41,5,125040201,M67,mainCarriageway,M67 westbound between J4 and J3,1.00,661.11110,53.454767646530897 ; -2.025583010085950,53.454837041139697 ; -2.035431920235740,55,45,83.00,9.00,2.00,6.00,15,25.47,26.00,94.07,15
2024-09-01,00:44:42,5,125040201,M67,mainCarriageway,M67 westbound between J4 and J3,1.00,661.11110,53.454767646530897 ; -2.025583010085950,53.454837041139697 ; -2.035431920235740,55,45,82.00,11.00,7.00,0.00,15,25.93,26.00,92.93,15
2024-09-01,00:59:42,5,125040201,M67,mainCarriageway,M67 westbound between J4 and J3,1.00,661.11110,53.454767646530897 ; -2.025583010085950,53.454837041139697 ; -2.035431920235740,45,45,78.00,15.00,5.00,2.00,15,25.13,26.00,94.53,15
2024-09-01,01:14:42,6,125040201,M67,mainCarriageway,M67 westbound between J4 and J3,1.00,661.11110,53.454767646530897 ; -2.025583010085950,53.454837041139697 ; -2.035431920235740,48,40,96.00,2.00,2.00,0.00,15,24.47,26.00,96.27,15
2024-09-01,01:29:42,6,125040201,M67,mainCarriageway,M67 westbound between J4 and J3,1.00,661.11110,53.454767646530897 ; -2.025583010085950,53.454837041139697 ; -2.035431920235740,44,30,70.00,21.00,6.00,3.00,15,25.53,26.00,93.93,15
2024-09-01,01:44:43,6,125040201,M67,mainCarriageway,M67 westbound between J4 and J3,1.00,661.11110,53.454767646530897 ; -2.025583010085950,53.454837041139697 ; -2.035431920235740,38,30,83.00,11.00,3.00,3.00,15,26.00,26.00,92.47,15
2024-09-01,01:59:43,6,125040201,M67,mainCarriageway,M67 westbound between J4 and J3,1.00,661.11110,53.454767646530897 ; -2.025583010085950,53.454837041139697 ; -2.035431920235740,31,30,83.00,14.00,3.00,0.00,15,24.73,26.00,96.60,15
2024-09-01,02:14:44,6,125040201,M67,mainCarriageway,M67 westbound between J4 and J3,1.00,661.11110,53.454767646530897 ; -2.025583010085950,53.454837041139697 ; -2.035431920235740,35,30,76.00,14.00,5.00,5.00,15,24.53,26.00,96.13,15
2024-09-01,02:29:44,6,125040201,M67,mainCarriageway,M67 westbound between J4 and J3,1.00,661.11110,53.454767646530897 ; -2.025583010085950,53.454837041139697 ; -2.035431920235740,46,30,91.00,9.00,0.00,0.00,15,25.53,26.00,93.60,15
2024-09-01,02:44:44,6,125040201,M67,mainCarriageway,M67 westbound between J4 and J3,1.00,661.11110,53.454767646530897 ; -2.025583010085950,53.454837041139697 ; -2.035431920235740,44,30,77.00,19.00,2.00,2.00,15,24.47,26.00,96.67,15
2024-09-01,02:59:46,6,125040201,M67,mainCarriageway,M67 westbound between J4 and J3,1.00,661.11110,53.454767646530897 ; -2.025583010085950,53.454837041139697 ; -2.035431920235740,58,30,82.00,16.00,2.00,0.00,15,25.07,26.00,95.00,15
2024-09-01,03:14:46,6,125040201,M67,mainCarriageway,M67 westbound between J4 and J3,1.00,661.11110,53.454767646530897 ; -2.025583010085950,53.454837041139697 ; -2.035431920235740,47,30,81.00,15.00,2.00,2.00,15,25.93,26.00,92.47,15
2024-09-01,03:29:47,6,125040201,M67,mainCarriageway,M67 westbound between J4 and J3,1.00,661.11110,53.454767646530897 ; -2.025583010085950,53.454837041139697 ; -2.035431920235740,50,30,81.00,13.00,2.00,4.00,15,25.40,26.00,94.20,15
2024-09-01,03:44:46,6,125040201,M67,mainCarriageway,M67 westbound between J4 and J3,1.00,661.11110,53.454767646530897 ; -2.025583010085950,53.454837041139697 ; -2.035431920235740,53,30,76.00,18.00,4.00,2.00,15,25.13,26.00,94.47,15
2024-09-01,03:59:47,6,125040201,M67,mainCarriageway,M67 westbound between J4 and J3,1.00,661.11110,53.454767646530897 ; -2.025583010085950,53.454837041139697 ; -2.035431920235740,55,30,92.00,8.00,0.00,0.00,15,25.20,26.00,94.60,15
2024-09-01,04:14:47,6,125040201,M67,mainCarriageway,M67 westbound between J4 and J3,1.00,661.11110,53.454767646530897 ; -2.025583010085950,53.454837041139697 ; -2.035431920235740,50,30,83.00,7.00,3.00,7.00,15,25.60,26.00,93.20,15
2024-09-01,04:29:47,6,125040201,M67,mainCarriageway,M67 westbound between J4 and J3,1.00,661.11110,53.454767646530897 ; -2.025583010085950,53.454837041139697 ; -2.035431920235740,47,25,88.00,8.00,2.00,2.00,15,24.40,26.00,97.53,15
2024-09-01,04:44:48,6,125040201,M67,mainCarriageway,M67 westbound between J4 and J3,1.00,661.11110,53.454767646530897 ; -2.025583010085950,53.454837041139697 ; -2.035431920235740,62,30,85.00,11.00,0.00,4.00,15,23.67,26.00,99.40,15
2024-09-01,04:59:48,6,125040201,M67,mainCarriageway,M67 westbound between J4 and J3,1.00,661.11110,53.454767646530897 ; -2.025583010085950,53.454837041139697 ; -2.035431920235740,47,30,90.00,10.00,0.00,0.00,15,24.20,26.00,97.20,15
2024-09-01,05:14:48,6,125040201,M67,mainCarriageway,M67 westbound between J4 and J3,1.00,661.11110,53.454767646530897 ; -2.025583010085950,53.454837041139697 ; -2.035431920235740,51,30,79.00,8.00,4.00,9.00,15,24.67,25.67,96.00,15
2024-09-01,05:29:49,6,125040201,M67,mainCarriageway,M67 westbound between J4 and J3,1.00,661.11110,53.454767646530897 ; -2.025583010085950,53.454837041139697 ; -2.035431920235740,51,30,82.00,11.00,2.00,5.00,15,24.40,25.00,96.20,15
2024-09-01,05:44:50,6,125040201,M67,mainCarriageway,M67 westbound between J4 and J3,1.00,661.11110,53.454767646530897 ; -2.025583010085950,53.454837041139697 ; -2.035431920235740,57,30,73.00,20.00,2.00,5.00,15,23.80,24.00,99.07,15
2024-09-01,05:59:50,6,125040201,M67,mainCarriageway,M67 westbound between J4 and J3,1.00,661.11110,53.454767646530897 ; -2.025583010085950,53.454837041139697 ; -2.035431920235740,61,40,84.00,14.00,0.00,2.00,15,23.27,24.00,101.07,15
2024-09-01,06:14:51,6,125040201,M67,mainCarriageway,M67 westbound between J4 and J3,1.00,661.11110,53.454767646530897 ; -2.025583010085950,53.454837041139697 ; -2.035431920235740,55,45,81.00,10.00,7.00,2.00,15,24.27,24.00,96.60,15
