Local Date, Local Time, Day Type ID, NTIS Link Number, Road, Carriageway, NTIS Link Description, NTIS Model Version, Link Length, Start Node Coordinates, End Node Coordinates, Total Traffic Flow, Profile Traffic Flow, Traffic Flow %value1, Traffic Flow %value2, Traffic Flow %value3, Traffic Flow %value4, Flow Quality, Fused Travel Time, Profile Travel Time, Fused Average Speed, Quality Index
2024-09-01,00:14:42,5,115031001,M67,mainCarriageway,M67 westbound within J3,1.00,651.05490,53.452886772790201 ; -2.074071032612390,53.453446641810501 ; -2.083785025341500,58,45,60.00,32.00,3.00,5.00,15,29.27,31.00,79.47,15
2024-09-01,00:29:41,5,115031001,M67,mainCarriageway,M67 westbound within J3,1.00,651.05490,53.452886772790201 ; -2.074071032612390,53.453446641810501 ; -2.083785025341500,45,45,51.00,44.00,0.00,5.00,15,30.80,31.00,76.33,15
2024-09-01,00:44:42,5,115031001,M67,mainCarriageway,M67 westbound within J3,1.00,651.05490,53.452886772790201 ; -2.074071032612390,53.453446641810501 ; -2.083785025341500,57,30,70.00,24.00,4.00,2.00,15,30.47,30.33,76.40,15
2024-09-01,00:59:42,5,115031001,M67,mainCarriageway,M67 westbound within J3,1.00,651.05490,53.452886772790201 ; -2.074071032612390,53.453446641810501 ; -2.083785025341500,43,30,65.00,26.00,6.00,3.00,15,30.73,30.33,76.07,15
2024-09-01,01:14:42,6,115031001,M67,mainCarriageway,M67 westbound within J3,1.00,651.05490,53.452886772790201 ; -2.074071032612390,53.453446641810501 ; -2.083785025341500,53,30,47.00,48.00,5.00,0.00,15,30.13,30.33,77.53,15
2024-09-01,01:29:42,6,115031001,M67,mainCarriageway,M67 westbound within J3,1.00,651.05490,53.452886772790201 ; -2.074071032612390,53.453446641810501 ; -2.083785025341500,45,30,41.00,53.00,3.00,3.00,15,30.13,30.67,77.13,15
2024-09-01,01:44:43,6,115031001,M67,mainCarriageway,M67 westbound within J3,1.00,651.05490,53.452886772790201 ; -2.074071032612390,53.453446641810501 ; -2.083785025341500,30,30,65.00,26.00,6.00,3.00,15,30.67,30.00,76.33,15
2024-09-01,01:59:43,6,115031001,M67,mainCarriageway,M67 westbound within J3,1.00,651.05490,53.452886772790201 ; -2.074071032612390,53.453446641810501 ; -2.083785025341500,41,25,68.00,28.00,4.00,0.00,15,30.00,31.00,78.33,15
2024-09-01,02:14:44,6,115031001,M67,mainCarriageway,M67 westbound within J3,1.00,651.05490,53.452886772790201 ; -2.074071032612390,53.453446641810501 ; -2.083785025341500,41,15,53.00,37.00,3.00,7.00,15,30.00,31.00,77.40,15
2024-09-01,02:29:44,6,115031001,M67,mainCarriageway,M67 westbound within J3,1.00,651.05490,53.452886772790201 ; -2.074071032612390,53.453446641810501 ; -2.083785025341500,49,15,75.00,25.00,0.00,0.00,15,30.40,30.33,76.93,15
2024-09-01,02:44:44,6,115031001,M67,mainCarriageway,M67 westbound within J3,1.00,651.05490,53.452886772790201 ; -2.074071032612390,53.453446641810501 ; -2.083785025341500,54,25,57.00,37.00,3.00,3.00,15,30.67,30.67,76.67,15
2024-09-01,02:59:46,6,115031001,M67,mainCarriageway,M67 westbound within J3,1.00,651.05490,53.452886772790201 ; -2.074071032612390,53.453446641810501 ; -2.083785025341500,58,30,56.00,42.00,2.00,0.00,15,30.00,30.33,78.53,15
2024-09-01,03:14:46,6,115031001,M67,mainCarriageway,M67 westbound within J3,1.00,651.05490,53.452886772790201 ; -2.074071032612390,53.453446641810501 ; -2.083785025341500,45,30,68.00,25.00,5.00,2.00,15,30.60,30.00,76.40,15
2024-09-01,03:29:47,6,115031001,M67,mainCarriageway,M67 westbound within J3,1.00,651.05490,53.452886772790201 ; -2.074071032612390,53.453446641810501 ; -2.083785025341500,49,30,57.00,37.00,3.00,3.00,15,30.07,30.33,77.47,15
2024-09-01,03:44:46,6,115031001,M67,mainCarriageway,M67 westbound within J3,1.00,651.05490,53.452886772790201 ; -2.074071032612390,53.453446641810501 ; -2.083785025341500,55,30,40.00,52.00,4.00,4.00,15,30.00,31.00,78.47,15
2024-09-01,03:59:47,6,115031001,M67,mainCarriageway,M67 westbound within J3,1.00,651.05490,53.452886772790201 ; -2.074071032612390,53.453446641810501 ; -2.083785025341500,52,30,57.00,43.00,0.00,0.00,15,30.27,31.00,77.53,15
2024-09-01,04:14:47,6,115031001,M67,mainCarriageway,M67 westbound within J3,1.00,651.05490,53.452886772790201 ; -2.074071032612390,53.453446641810501 ; -2.083785025341500,45,30,38.00,46.00,8.00,8.00,15,30.73,30.67,76.67,15
2024-09-01,04:29:47,6,115031001,M67,mainCarriageway,M67 westbound within J3,1.00,651.05490,53.452886772790201 ; -2.074071032612390,53.453446641810501 ; -2.083785025341500,43,30,70.00,25.00,2.00,3.00,15,31.53,30.67,74.53,15
2024-09-01,04:44:48,6,115031001,M67,mainCarriageway,M67 westbound within J3,1.00,651.05490,53.452886772790201 ; -2.074071032612390,53.453446641810501 ; -2.083785025341500,65,30,55.00,39.00,2.00,4.00,15,30.13,31.00,77.13,15
2024-09-01,04:59:48,6,115031001,M67,mainCarriageway,M67 westbound within J3,1.00,651.05490,53.452886772790201 ; -2.074071032612390,53.453446641810501 ; -2.083785025341500,45,30,72.00,28.00,0.00,0.00,15,30.47,30.67,76.80,15
2024-09-01,05:14:48,6,115031001,M67,mainCarriageway,M67 westbound within J3,1.00,651.05490,53.452886772790201 ; -2.074071032612390,53.453446641810501 ; -2.083785025341500,45,30,66.00,24.00,2.00,8.00,15,30.00,30.67,77.67,15
2024-09-01,05:29:49,6,115031001,M67,mainCarriageway,M67 westbound within J3,1.00,651.05490,53.452886772790201 ; -2.074071032612390,53.453446641810501 ; -2.083785025341500,68,30,70.00,18.00,4.00,8.00,15,29.73,30.00,79.27,15
2024-09-01,05:44:50,6,115031001,M67,mainCarriageway,M67 westbound within J3,1.00,651.05490,53.452886772790201 ; -2.074071032612390,53.453446641810501 ; -2.083785025341500,66,30,71.00,23.00,1.00,5.00,15,30.13,30.00,77.80,15
2024-09-01,05:59:50,6,115031001,M67,mainCarriageway,M67 westbound within J3,1.00,651.05490,53.452886772790201 ; -2.074071032612390,53.453446641810501 ; -2.083785025341500,71,45,65.00,31.00,2.00,2.00,15,30.00,30.00,77.53,15
2024-09-01,06:14:51,6,115031001,M67,mainCarriageway,M67 westbound within J3,1.00,651.05490,53.452886772790201 ; -2.074071032612390,53.453446641810501 ; -2.083785025341500,61,45,66.00,25.00,9.00,0.00,15,29.00,30.00,80.27,15
2024-09-01,06:29:51,6,115031001,M67,mainCarriageway,M67 westbound within J3,1.00,651.05490,53.452886772790201 ; -2.074071032612390,53.453446641810501 ; -2.083785025341500,65,55,60.00,30.00,4.00,6.00,15,30.00,30.00,78.87,15
2024-09-01,06:44:52,6,115031001,M67,mainCarriageway,M67 westbound within J3,1.00,651.05490,53.452886772790201 ; -2.074071032612390,53.453446641810501 ; -2.083785025341500,83,65,64.00,35.00,1.00,0.00,15,29.20,29.67,80.60,15
2024-09-01,06:59:51,6,115031001,M67,mainCarriageway,M67 westbound within J3,1.00,651.05490,53.452886772790201 ; -2.074071032612390,53.453446641810501 ; -2.083785025341500,90,75,49.00,41.00,6.00,4.00,15,31.40,30.00,73.87,15
2024-09-01,07:14:52,6,115031001,M67,mainCarriageway,M67 westbound within J3,1.00,651.05490,53.452886772790201 ; -2.074071032612390,53.453446641810501 ; -2.083785025341500,83,75,57.00,26.00,12.00,5.00,15,29.33,30.00,79.00,15
2024-09-01,07:29:53,6,115031001,M67,mainCarriageway,M67 westbound within J3,1.00,651.05490,53.452886772790201 ; -2.074071032612390,53.453446641810501 ; -2.083785025341500,104,85,67.00,27.00,3.00,3.00,15,28.27,30.00,82.47,15
2024-09-01,07:44:52,6,115031001,M67,mainCarriageway,M67 westbound within J3,1.00,651.05490,53.452886772790201 ; -2.074071032612390,53.453446641810501 ; -2.083785025341500,111,90,63.00,30.00,3.00,4.00,15,26.73,30.00,87.00,15
2024-09-01,07:59:53,6,115031001,M67,mainCarriageway,M67 westbound within J3,1.00,651.05490,53.452886772790201 ; -2.074071032612390,53.453446641810501 ; -2.083785025341500,116,95,56.00,35.00,7.00,2.00,15,29.40,30.00,79.60,15
2024-09-01,08:14:54,6,115031001,M67,mainCarriageway,M67 westbound within J3,1.00,651.05490,53.452886772790201 ; -2.074071032612390,53.453446641810501 ; -2.083785025341500,112,105,62.00,34.00,3.00,1.00,15,30.47,30.00,77.33,15
