Model,MAE,RMSE,MAPE,R2
M5_nn,3.060317488710933,4.0486563840527925,2.9387170939119525,0.3075051608647157
M5_svr,3.131342931490519,4.094378271176001,3.004836289551153,0.29177601524148145
M4_gbdt,3.2244708168782727,4.290172652238136,3.1031843286628833,0.22242150105224157
M2_gbdt,3.2244708168782727,4.290172652238136,3.1031843286628833,0.22242150105224157
M5_gbdt,3.2314122904461,4.22149564540142,3.1098951753837314,0.24711716761084712
M5_rf,3.2328475740773337,4.286700268810247,3.11456442649168,0.22367970589749797
M2_rf,3.2865082174380102,4.666835173632185,3.1705671519271124,0.07989026023652912
M4_rf,3.286508217438011,4.666835173632186,3.1705671519271124,0.07989026023652901
M5_tree,3.63923012561707,4.752258787890346,3.504711027479034,0.045897864455437754
M2_tree,3.7650614429854565,5.848764832462373,3.6310860915312264,-0.4451835920834606
M4_tree,3.7650614429854565,5.848764832462373,3.6310860915312264,-0.4451835920834606
M1_nls,6.893592478188569,8.516375304341285,6.5391030224600115,-2.0641095389495807
M3_nls,6.8994394453939565,8.540862657802386,6.542373941604075,-2.081755497767665
M0_nls,6.926523562513715,8.5754008744314,6.566516999989746,-2.106730387341209
M1_loglinear,9.084317364402342,10.34021528492352,8.588338081014244,-3.5170392559567043
M3_loglinear,9.100847778502889,10.346678615952253,8.604917972827069,-3.5226879283749355
M0_loglinear,9.135059209646192,10.373086939325326,8.638321111752715,-3.545804337350404
M3_classical,9.554417425156371,10.685403536004154,9.049620416150637,-3.823658561195611
M1_classical,9.557441261217793,10.687612810540587,9.052597339324153,-3.82565341102503
M0_classical,9.557441261217793,10.687612810540587,9.052597339324153,-3.82565341102503
